REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID,Link
31205009,Saint Tiernan's Catholic Church,,Chapel Street,,Crossmolina,CARTRONGILBERT [TIRA. BY.],Mayo,MA,MA,"Detached seven-bay double-height Catholic church, built 1859-60; dated 1860, on a cruciform plan comprising five-bay double-height nave opening into single-bay (three-bay deep) double-height transepts centred on single-bay double-height chancel to crossing (south).  ""Improved"", 1890-2, producing present composition.  Renovated, ----, with sanctuary reordered.  ""Restored"", 2007-8.  Replacement pitched slate roof on a cruciform plan with trefoil-perforated crested terracotta ridge tiles, cut-limestone coping to gables on ""Cavetto"" kneelers with Celtic Cross finials to apexes, dragged cut-limestone coping to gable to entrance (north) front on roll moulded gabled ""Cyma Recta"" or ""Cyma Reversa"" kneelers with repointed limestone ashlar buttressed gabled bellcote to apex framing embossed cast-iron bell (1907), and cast-iron rainwater goods on iron- or zinc-covered cut-limestone eaves retaining cast-iron downpipes.  Replacement rendered walls with repointed drag edged tooled cut-limestone flush quoins to corners; replacement rendered surface finish to entrance (north) front on benchmark-inscribed drag edged dragged cut-limestone chamfered cushion course on repointed snecked rock faced limestone plinth with repointed drag edged tooled cut-limestone clasping stepped buttresses to corners having ""slated"" coping supporting crocketed obelisk pinnacles.  Lancet window openings with repointed cut-limestone surrounds having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on leaded stained glass ""lozenges"".  Lancet ""Trinity Windows"" to transepts with repointed cut-limestone surrounds having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on leaded stained glass ""lozenges"".  Lancet ""Trinity Window"" to chancel (south) with repointed cut-limestone surround having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on leaded stained glass panels.  Pointed-arch door opening to entrance (north) front, repointed drag edged dragged cut-limestone block-and-start surround having chamfered reveals with hood moulding over on monolithic label stops framing timber boarded or tongue-and-groove timber panelled double doors retaining trefoil-detailed flat iron hinges.  Paired pointed-arch window openings to gable on cut-limestone ""Cyma Recta"" or ""Cyma Reversa"" stringcourse with cut-limestone mullions, and repointed drag edged dragged cut-limestone block-and-start surrounds having chamfered reveals with hood mouldings over on monolithic label stops framing storm glazing over fixed-pane fittings having stained glass margins centred on lattice glazing bars.  Pointed-arch door openings to transepts below cut-limestone date stones (""1860"") in cut-limestone chamfered frames with repointed cut-limestone surrounds having chamfered reveals framing timber boarded or tongue-and-groove timber panelled double doors retaining trefoil-detailed flat iron hinges.  Interior including vestibule (north) with vinyl floor centred on date stone (""1860""); square-headed door opening into nave with glazed diagonal timber boarded double doors having overlight; full-height interior open into roof with diagonal timber boarded choir gallery (north) below paired stained glass ""North Windows"", central aisle between timber pews, Gothic-style timber memorial stations (undated) between stained glass memorial windows (undated), carpeted cut-veined white marble stepped dais to sanctuary to crossing (south) reordered, ----, with Gothic-style altar (1892) below stained glass ""Trinity Window"" (????) in ""Fleur-de-Lys""-detailed mosaic tiled surround, and exposed timber roof construction on cut-limestone corbels with wind braced timber boarded ceiling in carved timber frame on carved timber cornice.  Set in relandscaped grounds on a slightly elevated site with rendered panelled chamfered piers to perimeter having cruciform-detailed gabled capping","A church erected under the aegis of Reverend Bartholomew Costello PP VG (????), and to a design attributed to a local architect named only as Canning (Dublin Builder 1860, 313), representing an integral component of the mid nineteenth-century ecclesiastical heritage of County Mayo with the architectural value of the composition, one succeeding an adjacent chapel (1806) marked on the first edition of the Ordnance Survey (surveyed 1838; published 1839), confirmed by such attributes as the cruciform plan form, aligned along a liturgically-incorrect axis; the slender profile of the openings underpinning a ""medieval"" Gothic theme with the chancel defined by an elegant ""Trinity Window""; and the handsome bellcote embellishing the roofline as a picturesque eye-catcher in the landscape: meanwhile, aspects of the composition clearly illustrate the continued development or ""improvement"" of the church to a design signed (1890) by William Henry Byrne (1844-1917) of Suffolk Street, Dublin (Irish Builder 1916, 288; IAA).  Having been well maintained, the elementary form and massing survive intact together with substantial quantities of the historic or original fabric, both to the exterior and to the interior reordered (----) in accordance with the liturgical reforms sanctioned by the Second Ecumenical Council of the Vatican (1962-5) where contemporary joinery; stained glass; a much-modified altar; and a vibrant ""Trinity Window"" in mosaic work attributable to Earley Studios Limited (closed 1975) of Dublin, all highlight the artistic potential of the composition: meanwhile, an exposed timber roof construction pinpoints the engineering or technical dexterity of a church making a pleasing visual statement overlooking the gently meandering Deel River.",1855,1865,Regional,church/chapel,113764,317350,513734,817360,54.09808553,-9.318891721,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31205009_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31205009,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31205009
31205012,McMorrow's,,Mullenmore Street,,Crossmolina,CARTRONGILBERT [TIRA. BY.],Mayo,MA,MA,"Terraced two-bay two-storey house, extant 1838[?], with shopfront to left ground floor.  Now disused.  One of a pair.  Pitched slate roof with clay ridge tiles, moss-covered coping to gables with rendered chimney stacks to apexes having stepped capping supporting terracotta or yellow terracotta tapered pots, and cast-iron rainwater goods on rendered eaves retaining cast-iron octagonal or ogee hopper and downpipe.  Rendered, ruled and lined walls.  Timber shopfront to left ground floor.  Square-headed window openings (first floor) with shallow sills, and concealed dressings framing one-over-one timber sash windows having part exposed sash boxes.  Street fronted with footpath to front.  Additional photography by James Fraher","A house erected as one of a pair representing an integral component of the built heritage of Crossmolina.  A prolonged period of unoccupancy notwithstanding, the elementary form and massing survive intact together with substantial quantities of the historic or original fabric, both to the exterior and to the interior, including a traditional Irish shopfront of artistic interest making a pleasing visual statement in Mullenmore Street at street level.",1700,1838,Regional,house,113809,317531,513779,817540,54.09971009,-9.318255215,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31205012_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31205012,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31205012
31205013,Crossmolina Glebe House or Crossmolina Rectory,,,,Crossmolina,GLEBE [TIRA. BY. C.MOL. PH.],Mayo,MA,MA,"Detached two-bay two-storey over part raised basement Board of First Fruits Church of Ireland glebe house, built 1814; extant 1838, on a U-shaped plan with single-bay (two-bay deep) two-storey pedimented recessed end bays.  Occupied, 1911.  Renovated to accommodate continued private residential use.  Pitched (gable-fronted) slate roofs centred on hipped slate roof with clay ridge tiles, cement rendered central chimney stack having concrete capping supporting terracotta pots, cut-limestone coping to gables, and cast-iron rainwater goods on timber eaves boards on rendered cut-limestone eaves retaining cast-iron downpipes.  Limewashed roughcast walls on cut-limestone chamfered cushion course on limewashed roughcast base.  Square-headed window openings including square-headed window openings originally in tripartite arrangement in elliptical-headed recesses (ground floor) with drag edged dragged cut-limestone sills, and concealed dressings framing replacement uPVC casement windows replacing six-over-six timber sash windows having two-over-two sidelights to tripartite openings.  Set in landscaped grounds.","A glebe house erected with financial support (1809; 1811) from the Board of First Fruits (fl. 1711-1833) representing an important component of the early nineteenth-century built heritage of Crossmolina with the architectural value of the composition, one recalling the contemporary Easky Glebe House (1815), County Sligo, confirmed by such attributes as the deliberate alignment maximising on panoramic vistas overlooking the meandering Deel River; the symmetrical footprint; the definition of the principal ""apartments"" or reception rooms by Wyatt-style tripartite glazing patterns; and the pedimented ""book ended"" roofline.  Having been reasonably well maintained, the elementary form and massing survive intact together with substantial quantities of the original fabric, both to the exterior and to the interior where contemporary joinery; chimneypieces; and plasterwork refinements, all establish the artistic potential of the composition: the introduction of replacement fittings to most of the openings, however, has not had a beneficial impact on the character or integrity of a glebe house having historic connections with the Crossmolina parish Church of Ireland clergy including Reverend Edwin Stock (d. 1835), '[whose] death was occasioned by a severe blow on the head from the starting of a horse' (The Gentleman's Magazine 1835 III, 329); Reverend Richard Quintus St. George MA (Lewis 1837 I, 438); Reverend Charles Ormsby Wiley MA (1840-1915), 'Clerk in Holy Orders of Church of Ireland' (NA 1901); and Reverend Arthur John Pike MA (1859-1945), 'Incumbent Church of Ireland' (NA 1911); and the Fair family including Ivan Fair (d. 2001).",1810,1815,Regional,house,114161,317940,514131,817949,54.10344313,-9.312991028,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31205013_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31205013,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31205013
31206001,,,,,Foxford,BELLASS,Mayo,MA,MA,"Handball alley, built 1901; extant 1925, with overgrown boundary wall to perimeter.  In use, 1944.  Now disused.  Street fronted in unkempt grounds with mass-concrete plinth to perimeter supporting galvanised steel railings centred on galvanised steel gate.",A neglected handball alley erected under the aegis of Mother Mary Arsenius (Agnes) Morrogh-Bernard (1842-1932) representing an integral component of the built heritage of Foxford.,1900,1905,Regional,handball alley,126809,304188,526776,804200,53.98187381,-9.116369739,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206001,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206001
31206002,,,,,Foxford,BELLASS,Mayo,MA,MA,"Seven-arch road bridge over river, extant 1895.  Tuck pointed coursed rock faced cut-limestone wall to upriver (south-west) elevation centred on drag edged rock faced limestone ashlar triangular cutwaters to piers having drag edged tooled cut-limestone pyramidal capping with drag edged rock faced cut-limestone stringcourses supporting parapets having lichen-covered drag edged rock faced rough hewn limestone coping.  Series of seven round arches with drag edged tooled limestone ashlar voussoirs.  Sited spanning River Moy with grass banks to river.","A bridge representing an integral component of the civil engineering heritage of County Mayo with the architectural value of the composition, one retaining the basis of 'a very ancient bridgeÉnow in a state of decay' (Lewis 1837 I, 634), confirmed not only by the rock faced surface finish offset by ""sparrow pecked"" sheer limestone dressings demonstrating good quality workmanship, but also by the elegant ""sweep"" of the arches making a pleasing visual statement at a crossing over the River Moy: meanwhile, a discreet benchmark remains of additional interest for the connections with cartography and the preparation of maps by the Ordnance Survey (established 1824).",1840,1895,Regional,bridge,126848,304134,526815,804146,53.98139418,-9.115762304,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206002,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206002
31206003,Foxford Church (Toomore),,Market Square,,Foxford,FOXFORD,Mayo,MA,MA,"Detached three-bay double-height single-cell Board of First Fruits Church of Ireland church, built 1801; dated 1801, with single-bay three-stage tower to entrance (west) front on a square plan.  ""Improved"", 1826.  ""Improved"", 1861, producing present composition.  Renovated, 1939.  Pitched slate roof with clay ridge tiles, lichen-covered tooled cut-limestone coping to gables, and replacement uPVC rainwater goods on roughcast cut-limestone eaves with cast-iron rainwater goods (south) retaining cast-iron downpipes.  Fine roughcast battered walls on rendered chamfered plinth; fine roughcast surface finish to tower on rendered chamfered plinth with tooled cut-limestone stringcourses including paired tooled cut-limestone stringcourses (bell stage) supporting tooled cut-limestone octagonal pinnacles centred on battlemented parapets having tooled cut-limestone ""saddleback"" coping.  Pointed-arch window openings with dragged cut-limestone Y-mullions, and drag edged tooled cut-limestone block-and-start surrounds having chamfered reveals framing fixed-pane fittings having stained glass margins centred on cast-iron lattice glazing bars.  Pointed-arch window opening to chancel (east) with dragged cut-limestone interlocking Y-mullions, and drag edged tooled cut-limestone block-and-start surround having chamfered reveals framing storm glazing over fixed-pane fittings having leaded stained glass panels.  Lancet window opening to tower (first stage) with drag edged tooled cut-limestone surround having chamfered reveals framing fixed-pane fitting having margins centred on cast-iron lattice glazing bars.  Lancet ""arrow loop"" openings (second stage) with drag edged tooled cut-limestone surrounds having chamfered reveals framing infill.  Pointed-arch openings (bell stage) with drag edged tooled cut-limestone surrounds having chamfered reveals framing louvered timber fittings.  Interior including vestibule (west); full-height interior with timber panelled choir gallery (west) on octagonal pillars, memorial baptismal font (ob. 1956) on an octagonal plan on polished pink marble pedestal, carpeted central aisle between timber pews, Gothic-style timber panelled pulpit (1861) on an octagonal plan with Gothic-style timber clerk's desk (1861), and carpeted stepped dais to chancel (east) with chamfered timber balusters supporting carved timber communion railing centred on cloaked altar table below stained glass memorial ""East Window"" (1908).  Set in landscaped grounds with repointed tooled limestone ashlar piers to perimeter having cut-limestone shallow pyramidal capping supporting ""Fleur-de-Lys""-detailed cast-iron double gates.  Additional photography by James Fraher","A church 'erected by parochial assessment' (Lewis 1837 II, 639) representing an important component of the ecclesiastical heritage of Foxford with the architectural value of the composition, 'a somewhat handsome structure' (Parliamentary Gazetteer of Ireland 1846 II, 223), confirmed by such traits as the standardised nave-with-entrance tower plan form, aligned along a liturgically-correct axis; the ""pointed"" profile of the openings underpinning a contemporary Georgian Gothic theme with the chancel defined by a handsome ""East Window""; and the pinnacled parapet embellishing the tower as a picturesque eye-catcher in the landscape: meanwhile, aspects of the composition, in particular the aforementioned tower, clearly illustrate the continued development or ""improvement"" of the church with the financial assistance of 'a loanÉfrom the late Board of First Fruits [fl. 1711-1833]' (Lewis 1837 II, 639).  Having been well maintained, the elementary form and massing survive intact together with substantial quantities of the original fabric, both to the exterior and to the interior where altar fittings designed (1861) by William John Welland (c.1832-95) and William Gillespie (1818-99); the jewel-like Bingham Memorial ""East Window"" supplied (1908) by Franz Mayer and Company (founded 1847) of Munich and London to a design by William Francis Dixon (1848-1928) repeating motifs from an earlier window (1902) at Saint Paul's Church (Ballysadare), County Sligo; and an elegant wall monument dedicated to Julia Jackson (d. 1863), 'the beloved wife of William Jackson AM Archdeacon of Killala and Vicar of Straid', all highlight the artistic potential of a church making a pleasing visual statement in a rural village setting.",1800,1805,Regional,church/chapel,126880,304008,526847,804020,53.98026669,-9.115244302,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206003_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206003,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206003
31206005,,,Davitt Street originally Pound Street,,Foxford,FOXFORD,Mayo,MA,MA,"Wall-mounted cast-iron ""wall box"" post box, between 1939-62, with ""P7T [Posts and Telegraphs]"" monogram.  Set in rendered wall.","A ""wall box"" post box supplied by [Thomas] Jessop Davis (closed 1962) of Enniscorthy, County Wexford, also known as Saint John's Ironworks and Foundry, representing an interesting example of mass-produced cast-iron work making a pleasing, if largely inconspicuous visual statement in an urban street scene with embellishments identifying the artistic potential of the composition including the Cl?Gaelach or ""Old Irish Lettering"" defining the monogram of the Department of Posts and Telegraphs (fl. 1924-84).",1939,1962,Regional,post box,126867,304030,526834,804042,53.9804625,-9.11544773,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206005_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206005,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206005
31206006,Convent of the Divine Providence,,Lower Main Street originally Market Street,,Foxford,FOXFORD,Mayo,MA,MA,"Detached six-bay double-height Catholic chapel, designed 1922; built 1923-5; dated 1925; extant 1925, originally attached on a cruciform plan comprising four-bay double-height nave opening into single-bay (single-bay deep) double-height lower transepts centred on single-bay double-height chancel to crossing (north).  Now in occasional use.  Pitched slate roof on a cruciform plan with clay ridge tiles, concrete coping to gables with trefoil-detailed cut-limestone Celtic Cross finials to apexes, and cast-iron rainwater goods on concrete box eaves retaining embossed cast-iron hoppers and downpipes.  Pebbledashed roughcast walls with pebbledashed roughcast clasping stepped buttresses to corners having concrete coping.  Pointed-arch window openings with concrete mullions, and concrete block-and-start surrounds having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on lattice glazing bars.  Pointed-arch window openings to transepts with concrete interlocking Y-mullions, and concrete block-and-start surrounds having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on lattice glazing bars with two (north) having stained glass margins centred on leaded stained glass panels.  Pointed-arch window opening to chancel (north) with concrete mullions, and concrete block-and-start surround having chamfered reveals framing storm glazing over fixed-pane fittings having stained glass margins centred on leaded stained glass panels.  Hexafoil ""Rose Window"" to gable to entrance (south) front with concrete surround framing storm glazing over fixed-pane fitting having stained glass margins centred on leaded stained glass panel.  Interior including vestibule (south); shallow Tudor-headed door openings into nave centred on camber-headed door opening with glazed timber panelled double doors; full-height interior with wrought iron-detailed arcaded choir gallery (south) below stained glass ""Rose Window"" (????), carpeted central aisle between timber pews, timber panelled wainscoting supporting carved timber dado rail, stations below stained glass windows (1924), pointed-arch arcades on limestone ashlar panelled octagonal pillars with hood mouldings over on label stops, mosaic tiled cut-veined white marble stepped dais to sanctuary to crossing (north) retaining arcaded communion railings centred on stepped ""predella"" supporting cut-veined white marble panelled altar below stained glass ""North Window"" (1924), pointed arches to side altars framing cut-veined white marble panelled altars below stained glass windows (1924), and part exposed timber roof construction on cut-limestone corbels with barrel vaulted ceiling on carved timber cornice.  Set in grounds originally shared with Convent of the Divine Providence with rendered, ruled and lined boundary wall to perimeter having ""saddleback"" coping supporting spear head-detailed wrought iron railings.","A chapel erected to a design by Rudolph Maximilian Butler (1872-1943) of Kildare Street, Dublin (Irish Builder 1922, 282), clearly illustrating the continued development or ""improvement"" of the Convent of the Divine Providence complex in the early twentieth century with the architectural value of the composition, one recalling the Butler-restructured Catholic Church of Saint Thomas the Apostle (1928-32) in neighbouring Callow (see 31306103), confirmed by such attributes as the cruciform plan form, aligned along a liturgically-incorrect axis; the ""pointed"" profile of the openings underpinning a so-called ""late Irish Gothic"" theme (ibid., 282) with the chancel defined by a cusped ""North Window""; and the high pitched gabled roofline.  Having been well maintained, the elementary form and massing survive intact together with substantial quantities of the original fabric, both to the exterior and to the interior where contemporary joinery; mosaic work; and vibrant stained glass produced (1924) by Alfred Ernest Child (1875-1939) of An Tœr Gloine (established 1903), Dublin (Bowe 1988, 67), all highlight the artistic potential of the composition: meanwhile, a part exposed timber roof construction pinpoints the engineering or technical dexterity of a chapel making an imposing visual statement in Lower Main Street.",1920,1930,Regional,church/chapel,126979,304176,526946,804188,53.98179004,-9.113775591,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206006_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206006,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206006
31206007,Foxford Woollen Mill originally Providence Woollen,,Lower Main Street originally Market Street,,Foxford,FOXFORD,Mayo,MA,MA,"Woollen mill complex, established 1892; extant 1895, including: Detached eleven-bay two-storey double-pile woollen manufactory.  ""Restored"", 1991-2.  Pitched double-pile (M-profile) slate roof on scissor truss cast-iron construction with rolled lead ridges, timber bargeboards to gables on timber purlins, and cast-iron rainwater goods on timber eaves boards retaining cast-iron downpipes.  Corrugated-iron-covered walls on cement rendered base.  Square-headed window openings including square-headed window openings in tripartite arrangement (ground floor) with pressed iron-covered sills, timber mullions, and concealed dressings framing four-over-four (ground floor) or two-over-two (first floor) timber sash windows having two-over-two sidelights (ground floor).  Interior including (ground floor): exposed timber joists on cast-iron beams on cast-iron pillars; (first floor): exposed scissor truss cast-iron roof construction with wind braced timber boarded ceiling.  Set in own grounds.  Additional photography by James Fraher","A woollen manufactory illustrating the continued development or ""improvement"" of the Providence Woollen Mill complex established (1892) by Mother Mary Arsenius (Agnes) Morrogh-Bernard (1842-1932) with support from the Congested Districts Board of Ireland (established 1891) and Sir James Talbot Power (1851-1916) of Edermine, County Wexford (ITA 1944).",1890,1895,Regional,mill (water),126981,304226,526948,804238,53.98223954,-9.11375709,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206007_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206007,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206007
31206008,Saint Mary's Commercial School,,Lower Main Street originally Market Street,Providence Road originally School Street,Foxford,FOXFORD,Mayo,MA,MA,"Attached single-bay (six-bay deep) two-storey gable-fronted oratory and social centre, designed 1943; dated 1945, with single-bay two-storey flat-roofed projecting lower porch.  Disused, 2007[?].  ""Restored"", 2010.  Replacement pitched (gable-fronted) slate roof with clay ridge tiles terminating in cruciform-ventilated roughcast chimney stack having corbelled capping, slightly sproketed eaves, and uPVC rainwater goods on eaves boards on rendered eaves retaining cast-iron hoppers and downpipes.  Roughcast wall to front (west) elevation on rendered plinth with rendered pilasters to ends below rendered band to eaves; roughcast surface finish (remainder) on rendered plinth with rendered band to eaves.  Square-headed central door opening below mosaic tiled date stone (""1945) in ""Faience Majolica"" frame, rendered surround with projecting hood moulding over on ""Cavetto"" consoles framing replacement timber boarded or tongue-and-groove timber panelled double doors having overlight replacing timber panelled doors having overlight.  Square-headed flanking window openings with concrete sills, and concealed dressings framing replacement one-over-one sash windows replacing two-over-two timber sash windows having horizontal glazing bars.  Square-headed window opening in bipartite arrangement (first floor) with concrete sill, and concealed dressings framing one-over-one sash windows replacing two-over-two timber sash windows having horizontal glazing bars.  Square-headed window openings (remainder) including square-headed window openings in bipartite arrangement (ground floor) with concrete sills, and concealed dressings framing replacement one-over-one sash windows replacing two-over-two (ground floor) or one-over-two (first floor) timber sash windows having horizontal glazing bars.  Street fronted on a corner site with rendered boundary wall to perimeter centred on cast-iron colonette piers.","An oratory and social centre erected to a design signed (1943) by William Henry Byrne and Son (formed 1902) of Suffolk Street, Dublin (IAA), forming part of a neat self-contained group alongside an adjoining music school (see 31206009) with the resulting ensemble making a pleasing visual statement in the streetscape in Lower Main Street.",1940,1950,Regional,school,127017,304168,526984,804180,53.98172353,-9.11319445,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/31206008_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=MA&regno=31206008,SURV034,http://webgis.buildingsofireland.ie/HistoricEnvironment/?REG_NO=31206008
